,Player,PTS,MP,Age,YOS,Pos,Draft Status,2022-23,Draft Rank
479,TyTy Washington,0.0,12.291278119639841,20,0,PG,2022 Rnd 1 Pick 29,2210040,29
480,PJ Washington,10.3,27.2,23,3,PF,2019 Rnd 1 Pick 12,5808435,12
481,Lindy Waters,8.0,18.6,25,1,SG,"2020 NBA Draft, Undrafted",508891,61
482,Trendon Watford,7.6,18.1,21,1,SF,"2021 NBA Draft, Undrafted",1563518,61
483,Peyton Watson,0.0,12.180675548366104,19,0,GF,2022 Rnd 1 Pick 30,2193960,30
484,Quinndary Weatherspoon,2.7,6.6,25,3,SG,2019 Rnd 2 Pick 19,508891,49
485,Blake Wesley,0.0,12.898370606607472,19,0,SG,2022 Rnd 1 Pick 25,2385480,25
486,Russell Westbrook,18.5,34.3,33,14,G,2008 Rnd 1 Pick 4,47063478,4
487,Coby White,12.7,27.5,22,3,PG,2019 Rnd 1 Pick 7,7413955,7
488,Derrick White,13.2,29.3,28,5,G,2017 Rnd 1 Pick 29,16892857,29
489,Fabian White,0.0,8.91061594953117,23,0,F,"2022 NBA Draft, Undrafted",508891,61
490,Jack White,0.0,8.91061594953117,25,0,SF,"2020 NBA Draft, Undrafted",508891,61
491,Aaron Wiggins,8.3,24.2,23,1,F,2021 Rnd 2 Pick 25,1563518,55
492,Andrew Wiggins,17.2,31.9,27,8,F,2014 Rnd 1 Pick 1,33616770,1
493,Lindell Wigginton,4.2,10.5,24,1,SG,"2019 NBA Draft, Undrafted",508891,61
494,Alondes Williams,0.0,8.91061594953117,24,0,G,"2022 NBA Draft, Undrafted",508891,61
495,Brandon Williams,12.9,26.7,22,1,PG,"2021 NBA Draft, Undrafted",508891,61
496,Grant Williams,7.8,24.4,23,3,SF,2019 Rnd 1 Pick 22,4306281,22
497,Jalen Williams,0.0,18.246374684168067,21,0,G,2022 Rnd 1 Pick 12,4341480,12
498,Jaylin Williams,0.0,11.84604542814968,20,0,C,2022 Rnd 2 Pick 4,2000000,34
499,Vincent Williams,0.0,10.98961348843552,23,0,SF,2022 Rnd 2 Pick 17,508891,47
500,Kenrich Williams,7.4,21.9,27,4,SF,"2018 NBA Draft, Undrafted",2000000,61
501,Mark Williams,0.0,16.36845166539046,20,0,C,2022 Rnd 1 Pick 15,3722040,15
502,Patrick Williams,9.0,24.8,20,2,G,2020 Rnd 1 Pick 4,7775400,4
503,Robert Williams,10.0,29.6,24,4,PF,2018 Rnd 1 Pick 27,10937502,27
504,Trevion Williams,0.0,8.91061594953117,21,0,C,"2022 NBA Draft, Undrafted",508891,61
505,Ziaire Williams,8.1,21.7,20,1,F,2021 Rnd 1 Pick 10,4591680,10
506,Zion Williamson,0.0,30.422319021981764,22,3,PF,2019 Rnd 1 Pick 1,13534817,1
507,DJ Wilson,7.5,13.5,26,5,F,2017 Rnd 1 Pick 17,508891,17
508,Dylan Windler,2.2,9.2,25,3,SF,2019 Rnd 1 Pick 26,4037278,26
509,Justise Winslow,5.7,16.1,26,7,SF,2015 Rnd 1 Pick 10,4097561,10
510,James Wiseman,0.0,28.891885430252387,21,2,C,2020 Rnd 1 Pick 2,9603360,2
511,Christian Wood,17.9,30.8,26,6,PF,"2015 NBA Draft, Undrafted",14317460,61
512,McKinley Wright ,1.0,3.8,23,1,PG,"2021 NBA Draft, Undrafted",508891,61
513,Delon Wright,4.4,18.9,30,7,G,2015 Rnd 1 Pick 20,7804878,20
514,Thaddeus Young,6.2,16.3,34,15,F,2007 Rnd 1 Pick 12,8000000,12
515,Trae Young,28.4,34.9,23,4,PG,2018 Rnd 1 Pick 5,37095000,5
516,Omer Yurtseven,5.3,12.6,24,2,C,"2020 NBA Draft, Undrafted",1752638,61
517,Ivica Zubac,10.3,24.4,25,6,C,2016 Rnd 2 Pick 2,10123457,32
